Run	Pair1Filename	Pair2Filename	Pair1bFilename	Pair2bFilename
SRR5009394	m130315_082514_42195_c100377942550000001523031403171360_s2_p0.bas.h5	m130315_082514_42195_c100377942550000001523031403171360_s2_p0.metadata.xml		
SRR5009395	siSAMD4B-4_S7_L001_R1_001.fastq.gz	siSAMD4B-4_S7_L001_R2_001.fastq.gz		
SRR5009396	m130307_105526_42195_c100415532550000001523046103151331_s1_p0.bas.h5	m130307_105526_42195_c100415532550000001523046103151331_s1_p0.metadata.xml		
SRR5009397	siPCBP3-1_S32_L001_R1_001.fastq.gz	siPCBP3-1_S32_L001_R2_001.fastq.gz		
SRR5009398	m130326_123031_42195_c100463152550000001523059105101371_s1_p0.bas.h5	m130326_123031_42195_c100463152550000001523059105101371_s1_p0.metadata.xml		
SRR5009399	m130320_143935_42195_c100372242550000001523029104101375_s1_p0.bas.h5	m130320_143935_42195_c100372242550000001523029104101375_s1_p0.metadata.xml		
SRR5009400	SA502_S2_L001_R1_001.fastq.gz	SA502_S2_L001_R2_001.fastq.gz		
SRR5009401	CPEB2-1_S20_L001_R1_001.fastq.gz	CPEB2-1_S20_L001_R2_001.fastq.gz		
SRR5009402	m130315_082514_42195_c100377942550000001523031403171360_s1_p0.bas.h5	m130315_082514_42195_c100377942550000001523031403171360_s1_p0.metadata.xml		
SRR5009403	m130321_092049_42195_c100372242550000001523029104101376_s1_p0.bas.h5	m130321_092049_42195_c100372242550000001523029104101376_s1_p0.metadata.xml		
SRR5009404	m130326_024556_42195_c100463162550000001523059105101367_s2_p0.bas.h5	m130326_024556_42195_c100463162550000001523059105101367_s2_p0.metadata.xml		
SRR5009405	m130318_181443_42195_c100445922550000001523057204151333_s2_p0.bas.h5	m130318_181443_42195_c100445922550000001523057204151333_s2_p0.metadata.xml		
SRR5009407	siSRSF1-2_S16_L001_R1_001.fastq.gz	siSRSF1-2_S16_L001_R2_001.fastq.gz		
SRR5009408	SA621_A37295_1.fastq.gz	SA621_A37295_2.fastq.gz		
SRR5009409	m130326_192349_42195_c100463152550000001523059105101374_s1_p0.bas.h5	m130326_192349_42195_c100463152550000001523059105101374_s1_p0.metadata.xml		
SRR5009410	siLIN28A-4_S27_L001_R1_001.fastq.gz	siLIN28A-4_S27_L001_R2_001.fastq.gz		
SRR5009411	SA564_T00414_1.fastq.gz	SA564_T00414_2.fastq.gz		
SRR5009412	m130321_141159_42195_c100374492550000001523031804171376_s1_p0.bas.h5	m130321_141159_42195_c100374492550000001523031804171376_s1_p0.metadata.xml		
SRR5009413	SRRM1-48hr_S5_L001_R1_001.fastq.gz	SRRM1-48hr_S5_L001_R2_001.fastq.gz		
SRR5009414	m130320_121542_42195_c100372242550000001523029104101374_s1_p0.bas.h5	m130320_121542_42195_c100372242550000001523029104101374_s1_p0.metadata.xml		
SRR5009415	SA569_T00419_1.fastq.gz	SA569_T00419_2.fastq.gz		
SRR5009416	m130306_180039_42195_c100415822550000001523046103151354_s1_p0.bas.h5	m130306_180039_42195_c100415822550000001523046103151354_s1_p0.metadata.xml		
SRR5009417	siPCBP4-3_S9_L001_R1_001.fastq.gz	siPCBP4-3_S9_L001_R2_001.fastq.gz		
SRR5009418	SA622_A37296_1.fastq.gz	SA622_A37296_2.fastq.gz		
SRR5009423	m130307_131644_42195_c100415532550000001523046103151332_s2_p0.bas.h5	m130307_131644_42195_c100415532550000001523046103151332_s2_p0.metadata.xml		
SRR5009424	m130318_181443_42195_c100445922550000001523057204151333_s1_p0.bas.h5	m130318_181443_42195_c100445922550000001523057204151333_s1_p0.metadata.xml		
SRR5009425	m130307_105526_42195_c100415532550000001523046103151331_s2_p0.bas.h5	m130307_105526_42195_c100415532550000001523046103151331_s2_p0.metadata.xml		
SRR5009426	SA503_T00013_1.fastq.gz	SA503_T00013_2.fastq.gz		
SRR5009427	siRBM24-3_S35_L001_R1_001.fastq.gz	siRBM24-3_S35_L001_R2_001.fastq.gz		
SRR5009428	m130315_131041_42195_c100377942550000001523031403171362_s1_p0.bas.h5	m130315_131041_42195_c100377942550000001523031403171362_s1_p0.metadata.xml		
SRR5009429	m130325_221244_42195_c100463162550000001523059105101365_s1_p0.bas.h5	m130325_221244_42195_c100463162550000001523059105101365_s1_p0.metadata.xml		
SRR5009430	siRBM38-2_S13_L001_R1_001.fastq.gz	siRBM38-2_S13_L001_R2_001.fastq.gz		
SRR5009431	siSRSF6-1_S12_L001_R1_001.fastq.gz	siSRSF6-1_S12_L001_R2_001.fastq.gz		
SRR5009432	m130307_180020_42195_c100415532550000001523046103151334_s1_p0.bas.h5	m130307_180020_42195_c100415532550000001523046103151334_s1_p0.metadata.xml		
SRR5009433	m130321_213125_42195_c100385722550000001523033604251305_s1_p0.bas.h5	m130321_213125_42195_c100385722550000001523033604251305_s1_p0.metadata.xml		
SRR5009434	m130307_083414_42195_c100415532550000001523046103151330_s2_p0.bas.h5	m130307_083414_42195_c100415532550000001523046103151330_s2_p0.metadata.xml		
SRR5009435	m130306_131041_42195_c100415822550000001523046103151352_s1_p0.bas.h5	m130306_131041_42195_c100415822550000001523046103151352_s1_p0.metadata.xml		
SRR5009436	m130315_153316_42195_c100377942550000001523031403171363_s1_p0.bas.h5	m130315_153316_42195_c100377942550000001523031403171363_s1_p0.metadata.xml		
SRR5009437	SA469_A14564_D0R0HACXX_7_1.fastq.gz	SA469_A14564_D0R0HACXX_7_2.fastq.gz		
SRR5009438	m130326_101229_42195_c100463152550000001523059105101370_s1_p0.bas.h5	m130326_101229_42195_c100463152550000001523059105101370_s1_p0.metadata.xml		
SRR5009439	siSRSF6-2_S13_L001_R1_001.fastq.gz	siSRSF6-2_S13_L001_R2_001.fastq.gz		
SRR5009440	m130322_000033_42195_c100385722550000001523033604251306_s1_p0.bas.h5	m130322_000033_42195_c100385722550000001523033604251306_s1_p0.metadata.xml		
SRR5009441	siRBM4-1_S5_L001_R1_001.fastq.gz	siRBM4-1_S5_L001_R2_001.fastq.gz		
SRR5009442	m130320_002727_42195_c100364412550000001523030104101317_s1_p0.bas.h5	m130320_002727_42195_c100364412550000001523030104101317_s1_p0.metadata.xml		
SRR5009443	SA565_T00415_1.fastq.gz	SA565_T00415_2.fastq.gz		
SRR5009444	SA832-R1_A57010_C8H5PANXX_7_ATCTAT_1_chastity_passed.fastq.gz	SA832-R1_A57010_C8H5PANXX_7_ATCTAT_2_chastity_passed.fastq.gz		
SRR5009445	siHNRNPH2-1_S23_L001_R1_001.fastq.gz	siHNRNPH2-1_S23_L001_R2_001.fastq.gz		
SRR5009446	SA573_T00423_1.fastq.gz	SA573_T00423_2.fastq.gz		
SRR5009447	m130307_180020_42195_c100415532550000001523046103151334_s2_p0.bas.h5	m130307_180020_42195_c100415532550000001523046103151334_s2_p0.metadata.xml		
SRR5009448	m130320_025017_42195_c100372242550000001523029104101371_s1_p0.bas.h5	m130320_025017_42195_c100372242550000001523029104101371_s1_p0.metadata.xml		
SRR5009449	siPCBP3-2_S7_L001_R1_001.fastq.gz	siPCBP3-2_S7_L001_R2_001.fastq.gz		
SRR5009450	siSAMD4B-1_S6_L001_R1_001.fastq.gz	siSAMD4B-1_S6_L001_R2_001.fastq.gz		
SRR5009451	m130308_115540_42195_c100415532550000001523046103151337_s1_p0.bas.h5	m130308_115540_42195_c100415532550000001523046103151337_s1_p0.metadata.xml		
SRR5009452	SA568_T00418_1.fastq.gz	SA568_T00418_2.fastq.gz		
SRR5009453	SA468_A14563_D0R0HACXX_7_1.fastq.gz	SA468_A14563_D0R0HACXX_7_2.fastq.gz		
SRR5009454	PRPF8-4_S24_L001_R1_001.fastq.gz	PRPF8-4_S24_L001_R2_001.fastq.gz		
SRR5009455	siKHDRBS1-1_S25_L001_R1_001.fastq.gz	siKHDRBS1-1_S25_L001_R2_001.fastq.gz		
SRR5009456	siPTBP2-2_S10_L001_R1_001.fastq.gz	siPTBP2-2_S10_L001_R2_001.fastq.gz		
SRR5009457	siMATR3-2_S29_L001_R1_001.fastq.gz	siMATR3-2_S29_L001_R2_001.fastq.gz		
SRR5009458	siSRSF9-3_S15_L001_R1_001.fastq.gz	siSRSF9-3_S15_L001_R2_001.fastq.gz		
SRR5009459	SA467_A14562_D0R0HACXX_6_1.fastq.gz	SA467_A14562_D0R0HACXX_6_2.fastq.gz		
SRR5009460	m130315_153316_42195_c100377942550000001523031403171363_s2_p0.bas.h5	m130315_153316_42195_c100377942550000001523031403171363_s2_p0.metadata.xml		
SRR5009461	NT-48hr_S4_L001_R1_001.fastq.gz	NT-48hr_S4_L001_R2_001.fastq.gz		
SRR5009462	SA539_T00041_1.fastq.gz	SA539_T00041_2.fastq.gz	SA831_A57007_C8H5PANXX_6_ATAATT_1_chastity_passed.fastq.gz	SA831_A57007_C8H5PANXX_6_ATAATT_2_chastity_passed.fastq.gz
SRR5009463	m130325_221244_42195_c100463162550000001523059105101365_s2_p0.bas.h5	m130325_221244_42195_c100463162550000001523059105101365_s2_p0.metadata.xml		
SRR5009464	SA466_A14561_D0R0HACXX_6_1.fastq.gz	SA466_A14561_D0R0HACXX_6_2.fastq.gz		
SRR5009465	m130325_195741_42195_c100463162550000001523059105101364_s1_p0.bas.h5	m130325_195741_42195_c100463162550000001523059105101364_s1_p0.metadata.xml		
SRR5009466	siRBM24-4_S36_L001_R1_001.fastq.gz	siRBM24-4_S36_L001_R2_001.fastq.gz		
SRR5009467	SA504_T00014_1.fastq.gz	SA504_T00014_2.fastq.gz		
SRR5009468	m130306_104600_42195_c100415822550000001523046103151351_s1_p0.bas.h5	m130306_104600_42195_c100415822550000001523046103151351_s1_p0.metadata.xml		
SRR5009469	m130307_153838_42195_c100415532550000001523046103151333_s2_p0.bas.h5	m130307_153838_42195_c100415532550000001523046103151333_s2_p0.metadata.xml		
SRR5009470	m130307_083414_42195_c100415532550000001523046103151330_s1_p0.bas.h5	m130307_083414_42195_c100415532550000001523046103151330_s1_p0.metadata.xml		
SRR5009471	siRBM4-2_S4_L001_R1_001.fastq.gz	siRBM4-2_S4_L001_R2_001.fastq.gz		
SRR5009472	siTIA1-1_S18_L001_R1_001.fastq.gz	siTIA1-1_S18_L001_R2_001.fastq.gz		
SRR5009473	siSFPQ-3_S8_L001_R1_001.fastq.gz	siSFPQ-3_S8_L001_R2_001.fastq.gz		
SRR5009474	SA537_T00039_1.fastq.gz	SA537_T00039_2.fastq.gz	SA828_A57003_C8H5PANXX_5_AGATAG_1_chastity_passed.fastq.gz	SA828_A57003_C8H5PANXX_5_AGATAG_2_chastity_passed.fastq.gz
SRR5009475	SA567_T00417_1.fastq.gz	SA567_T00417_2.fastq.gz		
SRR5009476	siSRSF4-2_S10_L001_R1_001.fastq.gz	siSRSF4-2_S10_L001_R2_001.fastq.gz		
SRR5009477	SA570_T00420_1.fastq.gz	SA570_T00420_2.fastq.gz		
SRR5009478	siSFPQ-4_S9_L001_R1_001.fastq.gz	siSFPQ-4_S9_L001_R2_001.fastq.gz		
SRR5009479	SA469_S11_L001_R1_001.fastq.gz	SA469_S11_L001_R2_001.fastq.gz	SA540_S15_L001_R1_001.fastq.gz	SA540_S15_L001_R2_001.fastq.gz
SRR5009480	siRALY-1_S34_L001_R1_001.fastq.gz	siRALY-1_S34_L001_R2_001.fastq.gz		
SRR5009481	m130321_190533_42195_c100385722550000001523033604251304_s1_p0.bas.h5	m130321_190533_42195_c100385722550000001523033604251304_s1_p0.metadata.xml		
SRR5009482	m130326_024556_42195_c100463162550000001523059105101367_s1_p0.bas.h5	m130326_024556_42195_c100463162550000001523059105101367_s1_p0.metadata.xml		
SRR5009483	SA502_T00012_1.fastq.gz	SA502_T00012_2.fastq.gz		
SRR5009484	siU2AF2-4_S16_L001_R1_001.fastq.gz	siU2AF2-4_S16_L001_R2_001.fastq.gz		
SRR5009485	siPCBP4-4_S8_L001_R1_001.fastq.gz	siPCBP4-4_S8_L001_R2_001.fastq.gz		
SRR5009486	siCPEB3-1_S2_L001_R1_001.fastq.gz	siCPEB3-1_S2_L001_R2_001.fastq.gz		
SRR5009487	SA830-R1_A57006_C8H5PANXX_6_AGGCCG_1_chastity_passed.fastq.gz	SA830-R1_A57006_C8H5PANXX_6_AGGCCG_2_chastity_passed.fastq.gz		
SRR5009488	siRBM38-3_S14_L001_R1_001.fastq.gz	siRBM38-3_S14_L001_R2_001.fastq.gz		
SRR5009489	siRALY-2_S33_L001_R1_001.fastq.gz	siRALY-2_S33_L001_R2_001.fastq.gz		
SRR5009490	m130325_173802_42195_c100463162550000001523059105101363_s1_p0.bas.h5	m130325_173802_42195_c100463162550000001523059105101363_s1_p0.metadata.xml		
SRR5009491	SA831-R1_A57008_C8H5PANXX_7_ATACGG_1_chastity_passed.fastq.gz	SA831-R1_A57008_C8H5PANXX_7_ATACGG_2_chastity_passed.fastq.gz		
SRR5009492	m130321_163828_42195_c100374492550000001523031804171377_s1_p0.bas.h5	m130321_163828_42195_c100374492550000001523031804171377_s1_p0.metadata.xml		
SRR5009493	SRRM2-48hr_S6_L001_R1_001.fastq.gz	SRRM2-48hr_S6_L001_R2_001.fastq.gz		
SRR5009494	m130319_123007_42195_c100364412550000001523030104101312_s1_p0.bas.h5	m130319_123007_42195_c100364412550000001523030104101312_s1_p0.metadata.xml		
SRR5009495	siELAVL1-1_S5_L001_R1_001.fastq.gz	siELAVL1-1_S5_L001_R2_001.fastq.gz		
SRR5009496	SA464_S1_L001_R1_001.fastq.gz	SA464_S1_L001_R2_001.fastq.gz	SA537_S10_L001_R1_001.fastq.gz	SA537_S10_L001_R2_001.fastq.gz
SRR5009497	siNT-Plate2_S1_L001_R1_001.fastq.gz	siNT-Plate2_S1_L001_R2_001.fastq.gz		
SRR5009498	SA620_A37294_1.fastq.gz	SA620_A37294_2.fastq.gz		
SRR5009499	siSRSF1-1_S15_L001_R1_001.fastq.gz	siSRSF1-1_S15_L001_R2_001.fastq.gz		
SRR5009501	m130325_104016_42195_c100463162550000001523059105101360_s1_p0.bas.h5	m130325_104016_42195_c100463162550000001523059105101360_s1_p0.metadata.xml		
SRR5009502	siHNRNPF-3_S20_L001_R1_001.fastq.gz	siHNRNPF-3_S20_L001_R2_001.fastq.gz		
SRR5009503	Plate-1-siNT-1_S1_L001_R1_001.fastq.gz	Plate-1-siNT-1_S1_L001_R2_001.fastq.gz		
SRR5009504	m130320_095233_42195_c100372242550000001523029104101373_s1_p0.bas.h5	m130320_095233_42195_c100372242550000001523029104101373_s1_p0.metadata.xml		
SRR5009505	m130325_195741_42195_c100463162550000001523059105101364_s2_p0.bas.h5	m130325_195741_42195_c100463162550000001523059105101364_s2_p0.metadata.xml		
SRR5009506	siPTBP1-2_S2_L001_R1_001.fastq.gz	siPTBP1-2_S2_L001_R2_001.fastq.gz		
SRR5009507	SA566_T00416_1.fastq.gz	SA566_T00416_2.fastq.gz		
SRR5009508	siPTBP1-4_S3_L001_R1_001.fastq.gz	siPTBP1-4_S3_L001_R2_001.fastq.gz		
SRR5009509	SA470_S13_L001_R1_001.fastq.gz	SA470_S13_L001_R2_001.fastq.gz		
SRR5009510	siHNRNPH1-3_S21_L001_R1_001.fastq.gz	siHNRNPH1-3_S21_L001_R2_001.fastq.gz		
SRR5009511	siPCBP2-4_S32_L001_R1_001.fastq.gz	siPCBP2-4_S32_L001_R2_001.fastq.gz		
SRR5009512	SA503_S4_L001_R1_001.fastq.gz	SA503_S4_L001_R2_001.fastq.gz		
SRR5009513	m130308_141842_42195_c100415822550000001523046103151356_s1_p0.bas.h5	m130308_141842_42195_c100415822550000001523046103151356_s1_p0.metadata.xml		
SRR5009514	SA468_S9_L001_R1_001.fastq.gz	SA468_S9_L001_R2_001.fastq.gz	SA539_S14_L001_R1_001.fastq.gz	SA539_S14_L001_R2_001.fastq.gz
SRR5009515	SA467_S5_L001_R1_001.fastq.gz	SA467_S5_L001_R2_001.fastq.gz	SA538_S12_L001_R1_001.fastq.gz	SA538_S12_L001_R2_001.fastq.gz
SRR5009516	m130326_192349_42195_c100463152550000001523059105101374_s2_p0.bas.h5	m130326_192349_42195_c100463152550000001523059105101374_s2_p0.metadata.xml		
SRR5009517	SA505_T00015_1.fastq.gz	SA505_T00015_2.fastq.gz		
SRR5009518	siPTBP2-4_S11_L001_R1_001.fastq.gz	siPTBP2-4_S11_L001_R2_001.fastq.gz		
SRR5009519	m130321_114642_42195_c100372242550000001523029104101377_s1_p0.bas.h5	m130321_114642_42195_c100372242550000001523029104101377_s1_p0.metadata.xml		
SRR5009520	siELAVL3-4_S6_L001_R1_001.fastq.gz	siELAVL3-4_S6_L001_R2_001.fastq.gz		
SRR5009521	SA828-R1_A57004_C8H5PANXX_5_AGCATC_1_chastity_passed.fastq.gz	SA828-R1_A57004_C8H5PANXX_5_AGCATC_2_chastity_passed.fastq.gz		
SRR5009522	siKHDRBS1-4_S26_L001_R1_001.fastq.gz	siKHDRBS1-4_S26_L001_R2_001.fastq.gz		
SRR5009523	m130320_072858_42195_c100372242550000001523029104101372_s1_p0.bas.h5	m130320_072858_42195_c100372242550000001523029104101372_s1_p0.metadata.xml		
SRR5009524	siCPEB3-2_S3_L001_R1_001.fastq.gz	siCPEB3-2_S3_L001_R2_001.fastq.gz		
SRR5009525	SA618_A37292_1.fastq.gz	SA618_A37292_2.fastq.gz		
SRR5009526	SA465_A14560_D0R1PACXX_8_1.fastq.gz	SA465_A14560_D0R1PACXX_8_2.fastq.gz		
SRR5009527	SRRM2-3_S22_L001_R1_001.fastq.gz	SRRM2-3_S22_L001_R2_001.fastq.gz		
SRR5009528	m130326_214045_42195_c100463152550000001523059105101375_s2_p0.bas.h5	m130326_214045_42195_c100463152550000001523059105101375_s2_p0.metadata.xml		
SRR5009529	siPCBP2-1_S31_L001_R1_001.fastq.gz	siPCBP2-1_S31_L001_R2_001.fastq.gz		
SRR5009530	m130315_104758_42195_c100377942550000001523031403171361_s1_p0.bas.h5	m130315_104758_42195_c100377942550000001523031403171361_s1_p0.metadata.xml		
SRR5009531	siMATR3-1_S30_L001_R1_001.fastq.gz	siMATR3-1_S30_L001_R2_001.fastq.gz		
SRR5009532	m130315_131041_42195_c100377942550000001523031403171362_s2_p0.bas.h5	m130315_131041_42195_c100377942550000001523031403171362_s2_p0.metadata.xml		
SRR5009533	Plate-4-siNT-1_S19_L001_R1_001.fastq.gz	Plate-4-siNT-1_S19_L001_R2_001.fastq.gz		
SRR5009534	m130325_125858_42195_c100463162550000001523059105101361_s1_p0.bas.h5	m130325_125858_42195_c100463162550000001523059105101361_s1_p0.metadata.xml		
SRR5009535	SA504_S6_L001_R1_001.fastq.gz	SA504_S6_L001_R2_001.fastq.gz		
SRR5009536	siLIN28B-2_S28_L001_R1_001.fastq.gz	siLIN28B-2_S28_L001_R2_001.fastq.gz		
SRR5009537	siELAVL1-2_S4_L001_R1_001.fastq.gz	siELAVL1-2_S4_L001_R2_001.fastq.gz		
SRR5009538	SA612_A37286_1.fastq.gz	SA612_A37286_2.fastq.gz		
SRR5009539	SA619_A37293_1.fastq.gz	SA619_A37293_2.fastq.gz		
SRR5009541	siHNRNPH2-4_S24_L001_R1_001.fastq.gz	siHNRNPH2-4_S24_L001_R2_001.fastq.gz		
SRR5009406	SRR5009406_1.fastq.gz	SRR5009406_2.fastq.gz
